221130;3801;1520;99999;;;33;3420;;;-;15;MOVEON-siirto;;;;
221130;5708;3420;99999;;;33;1520;;;+;15;MOVEON-siirto;;;;
221130;3801;1520;99999;;;129;3426;;;-;59;MOVEON-siirto;;;;
221130;5708;3426;99999;;;129;1520;;;+;59;MOVEON-siirto;;;;
221130;3801;1520;99999;;;48;3360;;;-;22;MOVEON-siirto;;;;
221130;5708;3360;99999;;;48;1520;;;+;22;MOVEON-siirto;;;;
221130;3801;1520;99999;;;21;3360;;;-;9;MOVEON-siirto;;;;
221130;5708;3360;99999;;;21;1520;;;+;9;MOVEON-siirto;;;;
221130;3801;1520;99999;;;131;3415;;;-;60;MOVEON-siirto;;;;
221130;5708;3415;99999;;;131;1520;;;+;60;MOVEON-siirto;;;;
221130;3801;1520;99999;;;284;3417;;;-;131;MOVEON-siirto;;;;
221130;5708;3417;99999;;;284;1520;;;+;131;MOVEON-siirto;;;;
221130;3801;1520;99999;;;54;3419;;;-;25;MOVEON-siirto;;;;
221130;5708;3419;99999;;;54;1520;;;+;25;MOVEON-siirto;;;;
221130;3801;1520;99999;;;95;3435;;;-;44;MOVEON-siirto;;;;
221130;5708;3435;99999;;;95;1520;;;+;44;MOVEON-siirto;;;;
221130;3801;1520;99999;;;127;3370;;;-;58;MOVEON-siirto;;;;
221130;5708;3370;99999;;;127;1520;;;+;58;MOVEON-siirto;;;;
221130;3801;1520;99999;;;190;3370;;;-;87;MOVEON-siirto;;;;
221130;5708;3370;99999;;;190;1520;;;+;87;MOVEON-siirto;;;;
221130;3801;1520;99999;;;13;3540;;;-;6;MOVEON-siirto;;;;
221130;5708;3540;99999;;;13;1520;;;+;6;MOVEON-siirto;;;;
221130;3801;1520;99999;;;246;5210;;;-;113;MOVEON-siirto;;;;
221130;5708;5210;99999;;;246;1520;;;+;113;MOVEON-siirto;;;;
221130;3801;1520;99999;;;66;5216;;;-;30;MOVEON-siirto;;;;
221130;5708;5216;99999;;;66;1520;;;+;30;MOVEON-siirto;;;;
221130;3801;1520;99999;;;36;5227;;;-;17;MOVEON-siirto;;;;
221130;5708;5227;99999;;;36;1520;;;+;17;MOVEON-siirto;;;;
221130;3801;1520;99999;;;37;5311;;;-;17;MOVEON-siirto;;;;
221130;5708;5311;99999;;;37;1520;;;+;17;MOVEON-siirto;;;;
221130;3801;1520;99999;;;56;5213;;;-;26;MOVEON-siirto;;;;
221130;5708;5213;99999;;;56;1520;;;+;26;MOVEON-siirto;;;;
221130;3801;1520;99999;;;492;4240;;;-;226;MOVEON-siirto;;;;
221130;5708;4240;99999;;;492;1520;;;+;226;MOVEON-siirto;;;;
221130;3801;1520;99999;;;26;6233;;;-;12;MOVEON-siirto;;;;
221130;5708;6233;99999;;;26;1520;;;+;12;MOVEON-siirto;;;;
